# День      	# Фаза	# Символ	# Название
2025-10-21	 0.033	🌑	Новолуние
2025-10-30	 7.733	🌓	Первая четверть
2025-11-06	14.967	🌕	Полнолуние
2025-11-12	21.189	🌗	Последняя четверть
2025-11-20	 0.267	🌑	Новолуние
2025-11-28	 7.189	🌓	Первая четверть
2025-12-05	14.500	🌕	Полнолуние
2025-12-12	21.578	🌗	Последняя четверть
2025-12-20	 0.422	🌑	Новолуние
2025-12-28	 7.656	🌓	Первая четверть
2026-01-04	15.045	🌕	Полнолуние
2026-01-11	21.811	🌗	Последняя четверть
2026-01-19	 0.578	🌑	Новолуние
2026-01-26	 7.267	🌓	Первая четверть
2026-02-02	14.500	🌕	Полнолуние
2026-02-09	21.033	🌗	Последняя четверть
2026-02-18	 0.967	🌑	Новолуние
2026-02-25	 7.967	🌓	Первая четверть
2026-03-04	14.967	🌕	Полнолуние
2026-03-11	21.111	🌗	Последняя четверть
2026-03-19	 0.422	🌑	Новолуние
2026-03-26	 7.656	🌓	Первая четверть
2026-04-02	14.422	🌕	Полнолуние
2026-04-10	21.267	🌗	Последняя четверть
2026-04-18	 1.045	🌑	Новолуние
2026-04-24	 7.345	🌓	Первая четверть
2026-05-02	14.733	🌕	Полнолуние
2026-05-10	21.500	🌗	Последняя четверть
2026-05-17	 0.656	🌑	Новолуние
2026-05-23	 7.033	🌓	Первая четверть
2026-05-31	14.111	🌕	Полнолуние
2026-06-08	21.033	🌗	Последняя четверть
2026-06-15	 0.345	🌑	Новолуние
2026-06-22	 7.578	🌓	Первая четверть
2026-06-30	14.422	🌕	Полнолуние
2026-07-08	21.656	🌗	Последняя четверть
2026-07-15	 1.045	🌑	Новолуние
2026-07-21	 7.111	🌓	Первая четверть
2026-07-30	14.811	🌕	Полнолуние
2026-08-06	21.345	🌗	Последняя четверть
2026-08-13	 0.733	🌑	Новолуние
2026-08-20	 7.422	🌓	Первая четверть
2026-08-28	14.267	🌕	Полнолуние
2026-09-04	21.111	🌗	Последняя четверть
2026-09-11	 0.345	🌑	Новолуние
2026-09-19	 7.578	🌓	Первая четверть
2026-09-27	14.733	🌕	Полнолуние
2026-10-04	21.889	🌗	Последняя четверть
2026-10-11	 0.811	🌑	Новолуние
2026-10-19	 7.733	🌓	Первая четверть
2026-10-26	14.267	🌕	Полнолуние
2026-11-02	21.578	🌗	Последняя четверть
2026-11-09	 0.189	🌑	Новолуние
2026-11-17	 7.033	🌓	Первая четверть
2026-11-25	14.889	🌕	Полнолуние
2026-12-01	21.189	🌗	Последняя четверть
2026-12-09	 0.422	🌑	Новолуние
2026-12-17	 7.267	🌓	Первая четверть
2026-12-24	14.345	🌕	Полнолуние
2026-12-31	21.656	🌗	Последняя четверть
2027-01-08	 0.578	🌑	Новолуние
2027-01-16	 7.656	🌓	Первая четверть
