# Tag       	# Phase	#2023-09-07	21.578	🌗	Letztes Viertel
2025-04-28	 0.656	🌑	Neumond
2025-05-05	 7.889	🌓	Erstes Viertel
2025-05-13	14.733	🌕	Vollmond
2025-05-21	21.967	🌗	Letztes Viertel
2025-05-27	 0.345	🌑	Neumond
2025-06-03	 7.345	🌓	Erstes Viertel
2025-06-11	14.189	🌕	Vollmond
2025-06-19	21.656	🌗	Letztes Viertel
2025-07-03	 7.656	🌓	Erstes Viertel
2025-07-11	14.578	🌕	Vollmond
2025-07-18	21.422	🌗	Letztes Viertel
2025-07-25	 0.656	🌑	Neumond
2025-08-01	 7.033	🌓	Erstes Viertel
2025-08-09	14.111	🌕	Vollmond
2025-08-16	21.267	🌗	Letztes Viertel
2025-08-23	 0.189	🌑	Neumond
2025-08-31	 7.267	🌓	Erstes Viertel
2025-09-08	14.733	🌕	Vollmond
2025-09-14	21.033	🌗	Letztes Viertel
2025-09-22	 0.656	🌑	Neumond
2025-09-30	 7.422	🌓	Erstes Viertel
2025-10-07	14.267	🌕	Vollmond
2025-10-14	21.656	🌗	Letztes Viertel
2025-10-21	 0.033	🌑	Neumond
2025-10-30	 7.733	🌓	Erstes Viertel
2025-11-06	14.967	🌕	Vollmond
2025-11-12	21.189	🌗	Letztes Viertel
2025-11-20	 0.267	🌑	Neumond
2025-11-28	 7.189	🌓	Erstes Viertel
2025-12-05	14.500	🌕	Vollmond
2025-12-12	21.578	🌗	Letztes Viertel
2025-12-20	 0.422	🌑	Neumond
2025-12-28	 7.656	🌓	Erstes Viertel
2026-01-11	21.811	🌗	Letztes Viertel
2026-01-19	 0.578	🌑	Neumond
2026-01-26	 7.267	🌓	Erstes Viertel
2026-02-02	14.500	🌕	Vollmond
2026-02-09	21.033	🌗	Letztes Viertel
2026-02-18	 0.967	🌑	Neumond
2026-02-25	 7.967	🌓	Erstes Viertel
2026-03-04	14.967	🌕	Vollmond
2026-03-11	21.111	🌗	Letztes Viertel
2026-03-19	 0.422	🌑	Neumond
2026-03-26	 7.656	🌓	Erstes Viertel
2026-04-02	14.422	🌕	Vollmond
2026-04-10	21.267	🌗	Letztes Viertel
2026-04-24	 7.345	🌓	Erstes Viertel
2026-05-02	14.733	🌕	Vollmond
2026-05-10	21.500	🌗	Letztes Viertel
2026-05-17	 0.656	🌑	Neumond
2026-05-23	 7.033	🌓	Erstes Viertel
2026-05-31	14.111	🌕	Vollmond
2026-06-08	21.033	🌗	Letztes Viertel
2026-06-15	 0.345	🌑	Neumond
2026-06-22	 7.578	🌓	Erstes Viertel
2026-06-30	14.422	🌕	Vollmond
2026-07-08	21.656	🌗	Letztes Viertel
2026-07-21	 7.111	🌓	Erstes Viertel
2026-07-30	14.811	🌕	Vollmond
2026-08-06	21.345	🌗	Letztes Viertel
2026-08-13	 0.733	🌑	Neumond
2026-08-20	 7.422	🌓	Erstes Viertel
2026-08-28	14.267	🌕	Vollmond
2026-09-04	21.111	🌗	Letztes Viertel
2026-09-11	 0.345	🌑	Neumond
2026-09-19	 7.578	🌓	Erstes Viertel
2026-09-27	14.733	🌕	Vollmond
2026-10-04	21.889	🌗	Letztes Viertel
2026-10-11	 0.811	🌑	Neumond
2026-10-19	 7.733	🌓	Erstes Viertel
2026-10-26	14.267	🌕	Vollmond
2026-11-02	21.578	🌗	Letztes Viertel
2026-11-09	 0.189	🌑	Neumond
2026-11-17	 7.033	🌓	Erstes Viertel
2026-11-25	14.889	🌕	Vollmond
2026-12-01	21.189	🌗	Letztes Viertel
